Vam,Vbm,Vcm,Iam,Ibm,Icm,Vap,Vbp,Vcp,Iap,Ibp,Icp,Fault,Location
0.013707782,0.875584919,0.884393042,0.697413567,0.170125402,0.175346795,-80.87278718,-122.2186363,118.2205797,-80.65592296,-33.88939122,-151.1075812,1,0
0.013706896,0.87558295,0.884387031,0.69736838,0.170090509,0.175340865,-80.87325701,-122.2218493,118.2262131,-80.65633507,-33.88186063,-151.1021216,1,0
0.013705092,0.875549997,0.884083039,0.697275571,0.17003011,0.17533612,-80.87341098,-122.2501543,118.2298873,-80.65644419,-33.86489956,-151.0944652,1,0
0.01370401,0.875424657,0.883297596,0.69721758,0.169987994,0.175335131,-80.87294552,-122.3094734,118.2191902,-80.65608303,-33.85249376,-151.0897522,1,0
0.013704077,0.875290546,0.882678534,0.697218411,0.16999406,0.175337865,-80.8715153,-122.3518739,118.2078751,-80.65481081,-33.85184439,-151.0947426,1,0
0.01370442,0.875293865,0.882613365,0.697237569,0.170020065,0.175342572,-80.87082118,-122.3555331,118.2044108,-80.65406615,-33.85573637,-151.1045565,1,0
0.013704581,0.875431488,0.882976265,0.69724606,0.170037973,0.175345726,-80.86886289,-122.3329296,118.2083742,-80.65208876,-33.85695078,-151.1134816,1,0
0.013704998,0.875551313,0.883260043,0.697265423,0.170034919,0.175345462,-80.86838275,-122.313663,118.2095055,-80.65167768,-33.85747732,-151.1141491,1,0
0.013705363,0.875452631,0.883075007,0.697282629,0.170029852,0.175344499,-80.86808577,-122.3218578,118.2100686,-80.65143364,-33.85753183,-151.1148348,1,0
0.013705731,0.875105204,0.882447122,0.697299337,0.170047844,0.175340413,-80.86807238,-122.3547118,118.2128564,-80.65147542,-33.8625674,-151.1247819,1,0
0.013706148,0.874761546,0.881840765,0.697318369,0.170095491,0.175329291,-80.87007484,-122.3858317,118.2152851,-80.65352623,-33.87639834,-151.146444,1,0
0.013706361,0.874763522,0.881828687,0.697330638,0.170158932,0.175309155,-80.87003497,-122.3881339,118.2137226,-80.65348637,-33.89432755,-151.176053,1,0
0.013706439,0.875106135,0.882318923,0.697342925,0.170209685,0.175287179,-80.86822591,-122.3666212,118.2048867,-80.65166607,-33.90960799,-151.2008215,1,0
0.013706504,0.875413336,0.882726801,0.69735799,0.170236354,0.175271558,-80.86798561,-122.3484628,118.1955733,-80.65146342,-33.91934771,-151.2146983,1,0
0.013706615,0.875295386,0.88263778,0.697373246,0.170255436,0.175255409,-80.86787301,-122.3515235,118.1998099,-80.65142607,-33.92805575,-151.2253666,1,0
0.013706748,0.874796434,0.882156494,0.697387621,0.170284823,0.175224386,-80.86810634,-122.3700319,118.2179658,-80.65176492,-33.94436144,-151.241999,1,0
0.013706879,0.8744311,0.881812775,0.697399192,0.17032218,0.175177689,-80.86899051,-122.3831918,118.2310526,-80.65274592,-33.96839602,-151.2639611,1,0
0.013707058,0.874572793,0.881931519,0.697409473,0.170358041,0.175124751,-80.86996283,-122.381,118.2226487,-80.65374197,-33.99477078,-151.2862114,1,0
0.013707201,0.875149929,0.882394025,0.697415346,0.170379838,0.17508731,-80.87149811,-122.3696628,118.1942238,-80.65522444,-34.01331187,-151.3008332,1,0
0.01370744,0.875694106,0.882827939,0.697426253,0.170388819,0.175072644,-80.87198857,-122.3592769,118.1665498,-80.65567304,-34.02169898,-151.3060279,1,0
0.01370766,0.875740897,0.882898195,0.697436655,0.17039085,0.175072458,-80.8725595,-122.3570411,118.1633533,-80.65621386,-34.02420082,-151.3061252,1,0
0.013707905,0.875322227,0.882671145,0.697446603,0.170392975,0.17506262,-80.87333751,-122.3592191,118.1847964,-80.65685073,-34.03096746,-151.3079552,1,0
0.013708257,0.874940876,0.882471539,0.697460185,0.170395418,0.175030433,-80.87420601,-122.3600317,118.2044801,-80.65743899,-34.04700017,-151.3133483,1,0
